busstop_id,busstop_name,stop_lat,stop_lon
210018,ΜΟΝΑΣΤΗΡΙ,37.937697368,23.764587283
210019,ΑΡΧΙΜΗΔΟΥΣ,37.940617494,23.764555208
210020,ΝΤΑΜΑΡΙΑ,37.941576673,23.761968714
210021,ΧΑΒΙΑΡΙΔΟΥ,37.941862129,23.760511050
210022,ΠΑΠΑΓΟΥ,37.943356687,23.759732289
210023,ΑΓ.ΜΑΡΙΝΑΣ,37.944751141,23.758487192
210024,ΓΕΦΥΡΑΚΙ,37.946607907,23.758538023
210025,ΠΛ.ΑΝΕΞΑΡΤΗΣΙΑΣ,37.946602317,23.755829234
210026,ΓΙΩΡΓΟΥ,37.947296097,23.751422242
460024,ΓΥΜΝΑΣΙΟ,37.948461552,23.748493186
460025,ΚΡΗΤΙΚΟΥ,37.948692126,23.746739594
460019,ΠΛ.ΗΡΩΩΝ,37.949839215,23.743708034
460021,ΓΥΜΝΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ,37.950562847,23.740780309
170090,ΣΤ.ΔΑΦΝΗΣ,37.948950202,23.737018566